,time,SBI_index,lower_level_ws (10m m/s),lower_level_angle (10m degrees),upper_level_ws (500-2000m),upper_level_angle (500-2000m)
159,2012-03-05 10:00:00,0.628604,5.3047476,79.03669,5.637152,347.8772
160,2012-03-06 06:00:00,0.71230054,6.2801414,79.99994,4.3143253,348.72678
161,2012-03-06 07:00:00,0.87922096,6.4845114,79.7587,3.7961035,347.25748
162,2012-03-06 16:00:00,0.9929793,3.5020633,86.61356,3.5677724,341.90894
163,2012-03-06 17:00:00,0.8111735,2.7434886,125.508026,4.753625,349.40646
164,2012-03-06 18:00:00,0.14672826,1.8070554,171.33195,3.656997,357.84552
165,2012-03-06 20:00:00,0.2655231,1.7766234,162.01453,3.9167004,355.11658
166,2012-03-06 21:00:00,0.7492866,2.899236,120.96491,4.253369,358.02136
167,2012-03-08 01:00:00,0.45814744,4.65032,150.69789,10.304812,356.19
168,2012-03-08 02:00:00,0.85395235,4.360358,120.70697,9.423881,351.08905
169,2012-03-08 06:00:00,0.9993187,5.635873,87.91557,7.7837725,355.88644
170,2012-03-08 07:00:00,0.5372366,6.107061,147.49277,8.978691,358.9338
171,2012-03-08 08:00:00,0.043474305,6.4422073,177.50807,10.612439,357.49387
172,2012-03-08 17:00:00,0.9944712,7.176335,94.18434,10.984149,355.94153
173,2012-03-09 07:00:00,0.35139218,7.9980373,159.19148,10.664001,339.04404
174,2012-03-09 08:00:00,0.37441435,7.9583287,157.97298,10.575238,350.48138
175,2012-03-09 09:00:00,0.20198885,7.8215837,168.34106,11.489344,354.59332
176,2012-03-10 04:00:00,-0.2676962,7.643757,138.23895,9.856609,357.9225
177,2012-03-11 14:00:00,0.40415326,4.349109,156.16061,5.7203507,355.0
178,2012-03-12 10:00:00,0.043576468,3.382955,177.5024,7.337249,344.92865
179,2012-03-12 11:00:00,0.36180314,3.7532213,158.78824,5.5004334,345.063
180,2012-03-12 12:00:00,0.93198276,4.583897,109.802376,5.297174,358.77988
181,2012-03-12 23:00:00,0.98086745,3.7645295,85.744194,6.0771947,347.24414
182,2012-03-13 00:00:00,0.71901566,3.8318722,133.93349,5.0477877,357.85974
183,2012-03-13 01:00:00,0.10708677,3.8835306,173.85048,3.9736953,353.82428
184,2012-03-13 02:00:00,0.78462374,3.9296296,128.31332,6.3625865,339.7246
185,2012-03-13 03:00:00,0.98060244,4.066493,87.021614,6.7336025,342.22943
186,2012-03-13 04:00:00,0.95359206,4.2722197,72.89812,7.4080095,340.79498
187,2012-03-13 05:00:00,0.98086673,4.5219407,78.77518,7.187548,346.74268
188,2012-03-13 06:00:00,0.98407626,4.8642993,84.58838,5.435626,352.7049
189,2012-03-13 08:00:00,0.8896507,4.5247693,91.23995,6.0938787,359.6783
190,2012-03-13 09:00:00,0.92278415,4.0934978,101.25497,7.095345,356.99878
191,2012-03-13 10:00:00,0.78115696,3.8589902,128.14723,8.153483,358.29688
192,2012-03-15 04:00:00,0.6008437,3.2378151,143.05704,6.598106,354.49716
193,2012-03-15 05:00:00,0.588629,3.2136502,143.94022,7.075372,355.35577
194,2012-03-15 06:00:00,0.4778825,3.4226413,151.35422,6.4926734,344.0
195,2012-03-15 07:00:00,0.35050118,3.8314755,159.47922,6.4818707,345.74622
196,2012-03-15 08:00:00,0.059654776,3.9571118,176.57138,6.487114,350.3591
197,2012-03-15 19:00:00,0.6278009,1.2303008,39.028004,2.104209,307.07028
198,2012-03-15 20:00:00,0.7009295,0.93455124,44.904682,2.4919097,312.75018
199,2012-03-15 21:00:00,0.80142945,0.80864614,53.712334,3.0797672,315.28656
200,2012-03-15 22:00:00,0.91165173,0.93645906,65.802826,3.3325598,314.88513
201,2012-03-15 23:00:00,0.94491005,1.4560107,76.52844,3.4779444,331.68796
202,2012-03-16 00:00:00,0.99897057,2.0837984,91.63591,3.8698218,315.58295
203,2012-03-16 01:00:00,0.936154,2.716957,109.84259,2.519484,327.44412
204,2012-03-16 02:00:00,0.786513,3.352445,128.08006,2.58566,339.45578
205,2012-03-16 03:00:00,0.596503,3.989149,143.25197,2.756022,342.02405
206,2012-03-16 04:00:00,0.47185373,4.5443764,151.8003,2.3006005,356.98718
207,2012-03-16 05:00:00,0.6461717,4.794086,139.61093,3.166456,351.10147
208,2012-03-16 06:00:00,0.7593027,5.038052,130.55838,2.6397934,329.44202
209,2012-03-16 07:00:00,0.8135901,5.206815,125.54521,3.7302835,330.6908
210,2012-03-16 08:00:00,0.88568276,4.854449,117.62887,3.711687,335.30252
211,2012-03-16 09:00:00,0.94501704,4.405623,109.02772,3.9665928,351.88654
212,2012-03-16 10:00:00,0.97891647,4.000656,101.66549,4.9332933,344.46777
213,2012-03-16 11:00:00,0.99979925,3.4085753,89.61653,3.8774412,332.46725
214,2012-03-16 12:00:00,0.94990784,2.8387318,78.89088,4.7676277,346.602
215,2012-03-16 13:00:00,0.9502945,2.5531285,71.99759,5.8048925,321.07294
216,2012-03-16 14:00:00,0.94455314,2.780183,71.118256,5.6812468,314.0089
217,2012-03-16 15:00:00,0.9437449,3.1666903,71.3556,3.912315,332.9477
218,2012-03-16 16:00:00,0.9496395,3.5667765,71.74792,3.7746415,339.7226
219,2012-03-16 17:00:00,0.9528855,3.9763453,72.52048,4.3336053,327.96307
220,2012-03-16 18:00:00,0.9511744,4.3927455,74.74357,3.375336,342.87616
221,2012-03-16 19:00:00,0.93623954,4.6097817,70.168686,2.8644245,338.23065
222,2012-04-09 01:00:00,0.61776114,1.7417527,38.292477,2.9578836,193.23837
223,2012-04-09 02:00:00,0.64262515,1.5702436,40.000042,2.8424094,226.26071
224,2012-04-09 03:00:00,0.64264226,1.3882412,40.000053,2.1363227,194.88864
225,2012-04-09 04:00:00,0.64268947,1.206239,40.000046,2.1567287,226.2657
226,2012-04-09 05:00:00,0.6421473,1.024237,40.000053,2.9041061,301.72614
227,2012-04-09 06:00:00,0.642474,0.8422364,40.000042,1.508583,251.44724
228,2012-04-09 07:00:00,0.64247686,0.66023755,40.000053,3.2747438,307.9958
229,2012-04-09 08:00:00,0.6407844,0.47824287,40.000042,2.8204112,219.92107
230,2012-04-09 09:00:00,0.64221823,0.29625955,40.000053,3.0926247,308.00677
231,2012-04-09 10:00:00,0.6411691,0.11434273,40.000053,1.591351,301.61047
232,2012-04-09 11:00:00,0.6377091,0.06804246,40.000042,2.9720762,257.57336
233,2012-04-09 12:00:00,0.6378827,0.24987252,40.000042,2.659618,270.1419
234,2012-04-09 13:00:00,0.6460809,0.39459708,40.2819,3.347612,276.7925
235,2012-04-09 14:00:00,0.6783188,0.44273004,42.712475,2.98938,285.54272
236,2012-04-09 15:00:00,0.7185626,0.49250463,45.941093,3.605515,282.47656
237,2012-04-09 16:00:00,0.7502939,0.54559445,49.644325,2.7661035,280.0856
238,2012-04-09 17:00:00,0.80549675,0.60112166,53.89641,3.3375971,290.52307
239,2012-04-09 18:00:00,0.8464808,0.65846986,58.77059,2.9276993,314.02673
240,2012-04-09 19:00:00,0.8944275,0.71720237,64.32662,2.998726,307.28186
241,2012-04-09 20:00:00,0.94305986,0.77700543,70.590675,2.9988806,288.2746
242,2012-04-09 21:00:00,0.9762431,0.8376498,77.52904,3.3552642,320.37915
243,2012-04-09 22:00:00,0.9930735,0.8989651,85.02353,3.392082,315.20938
244,2012-04-09 23:00:00,0.9986657,0.960823,92.86378,5.026149,297.98343
245,2012-04-10 00:00:00,0.9780429,1.0231249,100.77102,3.746666,324.6593
246,2012-04-10 01:00:00,0.9482705,1.083135,108.162476,4.646978,300.6655
247,2012-04-10 02:00:00,0.85440487,0.9139028,121.30468,4.959091,301.30988
248,2012-04-10 03:00:00,0.5154478,0.5705385,148.96297,4.563237,297.52338
249,2012-04-10 04:00:00,0.044007543,0.22772922,177.47717,4.162335,294.62408
250,2012-04-13 17:00:00,0.99029,3.6353114,84.15894,0.6907342,352.21887
251,2012-04-13 18:00:00,-0.64527535,3.711385,85.91338,0.64837396,345.32047
252,2012-04-13 19:00:00,0.9407646,3.791957,88.12866,0.61662096,337.58813
253,2012-04-13 20:00:00,0.49933058,3.876747,91.003586,0.5268474,345.35394
254,2012-04-13 21:00:00,0.023886083,3.9654837,94.86062,0.48956975,332.95612
255,2012-04-13 22:00:00,0.98359203,4.057908,100.24487,0.5992193,311.69153
256,2012-04-13 23:00:00,0.31920686,4.1537757,108.10289,0.4943828,305.72415
257,2012-04-14 00:00:00,0.86319464,4.252852,120.018036,0.535761,293.65625
258,2012-04-14 01:00:00,-0.39342397,4.3081555,132.6704,0.69295555,289.67307
259,2012-04-14 02:00:00,0.8105966,4.033168,121.379135,0.7050481,289.13205
260,2012-04-14 03:00:00,0.9338031,3.6890924,99.153885,0.06551157,354.2215
261,2012-04-14 04:00:00,0.9144155,3.3481493,72.81472,0.7196474,290.22003
262,2012-04-14 05:00:00,0.76952755,3.011403,51.238007,0.5225583,281.66562
263,2012-04-14 06:00:00,0.6017649,2.6804338,37.11319,0.6738338,192.0539
264,2012-04-14 07:00:00,0.4683129,2.3576775,28.171158,0.64268094,220.8644
265,2012-04-14 08:00:00,0.37894773,2.0470223,22.268951,0.33584794,183.4255
266,2012-04-14 09:00:00,0.3116909,1.7549063,18.162079,0.6560814,235.8513
267,2012-04-14 10:00:00,0.26036114,1.4922566,15.167809,0.69280386,270.66522
268,2012-04-14 11:00:00,0.22259721,1.2773811,12.899361,1.1098607,255.80707
269,2012-04-14 12:00:00,0.19296733,1.1376791,11.12648,1.9217025,279.0819
270,2012-04-14 13:00:00,0.15336743,1.1156901,8.884644,1.7597268,276.96747
271,2012-04-17 01:00:00,0.009778936,2.9197526,179.32866,2.8228457,353.62888
272,2012-04-17 02:00:00,-0.077562585,2.9359326,167.33304,2.9692485,355.54855
273,2012-04-17 03:00:00,-0.38594407,2.9763,150.02675,3.1367438,358.98907
274,2012-04-17 04:00:00,-0.24210429,3.02169,131.19263,3.3617392,359.55975
275,2012-04-17 18:00:00,0.93683064,3.293351,75.78711,3.9473062,343.4918
276,2012-04-17 19:00:00,0.87293947,3.2319286,77.3002,4.4133244,345.72754
277,2012-04-17 20:00:00,0.97679275,3.1705115,78.97273,4.252807,346.83896
